Commande,Heure,idMaison
12775,15:35:16,193
12776,17:06:27,1289
12777,20:09:13,1114
12778,23:46:39,103
12779,11:21:14,1126
12780,12:45:55,691
12781,12:51:29,724
12782,11:23:42,1138
12783,21:46:44,2489
12784,08:45:28,1444
12785,06:33:18,425
12786,21:06:29,945
12787,11:25:11,347
12788,21:09:53,1988
12789,13:52:54,2220
12790,09:32:01,815
12791,14:29:25,1675
12792,18:37:48,493
12793,16:38:09,2420
12794,14:26:27,459
12795,17:09:36,2387
12796,22:05:40,607
12797,13:57:16,1133
12798,19:24:15,1236
12799,08:58:50,2469
12800,09:38:44,2556
12801,17:28:47,2214
12802,14:24:39,1039
12803,08:28:15,1523
12804,17:58:57,956
12805,10:28:10,941
12806,13:04:17,1704
12807,17:04:17,2537
12808,18:57:25,496
12809,12:15:09,1232
12810,15:25:34,1695
12811,23:43:35,1868
12812,08:19:51,2286
12813,13:42:02,2424
12814,18:19:26,2102
12815,10:44:16,2531
12816,07:45:11,2390
12817,11:45:30,1394
12818,16:38:19,1214
12819,14:16:31,1993
12820,19:13:03,68
12821,17:30:18,2451
12822,16:55:10,928
12823,18:28:01,2084
12824,13:17:18,2291
12825,01:07:01,399
12826,08:15:39,683
12827,19:00:34,813
12828,22:29:31,2139
12829,10:12:21,693
12830,14:21:43,2425
12831,14:05:48,1419
12832,14:33:10,242
12833,22:56:37,1615
12834,20:01:27,1804
12835,22:02:45,549
12836,14:37:53,222
12837,12:42:34,1413
12838,20:39:36,2383
12839,18:07:03,242
12840,14:39:39,1950
12841,12:25:10,462
12842,21:54:43,1456
12843,10:09:46,2098
12844,22:43:24,2379
12845,22:41:21,1482
12846,20:13:40,1118
12847,19:10:10,253
12848,22:34:22,2288
12849,18:29:02,1468
12850,18:41:45,1107
12851,15:22:02,2108
12852,20:31:40,1455
12853,21:39:55,149
12854,16:16:23,1959
12855,23:06:18,1473
12856,20:16:47,561
12857,17:07:58,2331
12858,16:41:42,1614
12859,09:43:08,1894
12860,19:46:22,2566
12861,18:48:14,1700
12862,18:41:22,2142
12863,13:43:53,2124
12864,18:00:54,188
12865,07:48:50,1445
12866,21:33:05,2548
12867,14:59:22,1402
12868,08:46:19,744
12869,20:54:21,328
12870,09:15:54,480
12871,20:14:04,778
12872,17:08:45,1062
12873,12:45:39,2019
12874,19:41:30,756
12875,10:58:50,850
12876,22:28:30,818
12877,07:00:26,1284
12878,19:17:19,337
12879,09:33:32,334
12880,10:46:46,192
12881,14:59:05,2013
12882,16:01:36,197
12883,09:24:04,967
12884,12:29:43,1571
12885,19:18:00,1090
12886,18:39:30,874
12887,21:32:04,1277
12888,17:36:51,2315
12889,17:43:01,2222
12890,15:52:06,2033
12891,20:13:51,384
12892,12:08:20,1495
12893,15:55:27,1859
12894,21:37:37,161
12895,17:36:42,7
12896,21:42:11,866
12897,22:26:06,2339
12898,11:21:57,2554
12899,15:32:17,585
12900,13:40:32,1503
12901,18:20:06,1881
12902,17:15:43,233
12903,13:03:18,1604
12904,15:09:22,2308
12905,17:51:48,1658
12906,06:56:10,516
12907,10:16:18,2224
12908,13:15:22,78
12909,23:53:05,1178
12910,09:51:51,2158
12911,17:27:24,189
12912,18:33:29,1125
12913,09:38:28,237
12914,20:37:46,341
12915,11:33:03,571
12916,12:01:28,1639
12917,21:52:41,1678
12918,15:38:07,1501
12919,17:36:34,1036
12920,11:09:56,681
12921,12:09:52,763
12922,20:53:20,1983
12923,16:41:01,1584
12924,19:44:03,434
12925,21:43:06,1036
12926,16:43:44,2444
12927,15:02:59,1284
12928,14:25:27,1905
12929,17:02:09,2311
12930,16:49:08,1871
12931,18:53:08,2530
12932,23:07:13,305
12933,23:02:39,2132
12934,00:34:55,512
12935,14:21:06,1728
12936,09:47:41,1073
12937,16:08:49,2133
12938,00:05:57,2350
12939,13:27:31,721
12940,15:12:01,1123
12941,17:41:48,1286
12942,14:02:37,1441
12943,11:08:48,1749
12944,17:13:07,597
12945,07:33:47,1835
12946,20:30:03,1107
12947,00:42:26,298
12948,12:40:50,88
12949,13:51:13,944
12950,22:39:53,275
12951,11:48:07,477
12952,17:31:03,1034
12953,11:05:56,2473
12954,21:52:10,2254
12955,09:27:00,230
12956,16:14:24,884
12957,12:57:15,1558
12958,12:38:17,376
12959,08:29:32,1906
12960,15:41:49,731
12961,10:07:58,526
12962,21:47:20,1545
12963,23:29:36,1421
12964,22:46:37,963
12965,21:31:18,1481
12966,21:46:56,2529
12967,13:54:58,1538
12968,16:08:17,1157
12969,03:23:36,269
12970,17:45:47,1602
12971,21:05:22,342
12972,13:08:20,1009
12973,20:12:34,2244
12974,11:59:23,592
12975,10:51:45,2540
12976,08:40:38,2225
12977,14:30:51,1416
12978,11:39:38,955
12979,20:54:13,330
12980,22:00:36,1035
12981,15:25:32,2556
12982,09:29:22,1115
12983,10:14:28,396
12984,18:29:29,1540
12985,10:33:38,15
12986,16:32:25,1713
12987,21:48:26,1868
12988,20:48:32,406
12989,01:58:36,1479
12990,16:55:15,1768
12991,16:14:19,1420
12992,17:47:01,1212
12993,18:18:52,191
12994,10:09:37,408
12995,21:24:22,1234
12996,18:58:35,2519
12997,16:14:40,4
12998,14:37:42,374
12999,21:20:13,1570
13000,16:18:21,690
13001,17:58:15,524
13002,16:09:47,561
13003,19:06:33,2128
13004,21:27:29,784
13005,13:03:04,2441
13006,20:53:17,2516
13007,23:03:30,583
13008,22:00:06,2314
13009,09:52:33,1986
13010,20:43:15,1045
13011,18:06:56,228
13012,14:56:48,1340
13013,15:43:58,1968
13014,18:00:51,2532
13015,17:26:39,1940
13016,13:07:45,1606
13017,15:26:45,1177
13018,21:05:06,1135
13019,13:30:05,1467
13020,14:18:25,732
13021,17:19:28,1619
13022,11:56:34,2520
13023,21:46:23,1950
13024,11:35:38,2021
13025,20:41:14,1332
13026,14:58:00,2499
13027,19:48:32,1104
13028,12:37:25,2560
13029,15:56:18,889
13030,18:18:19,547
13031,10:31:08,75
13032,12:02:08,1559
13033,19:10:39,2260
13034,19:12:52,702
13035,23:45:59,2434
13036,20:38:52,1048
13037,22:22:41,1085
13038,20:54:03,1986
13039,20:12:02,1865
13040,10:24:38,2101
13041,11:42:21,1986
13042,17:55:57,1334
13043,08:39:47,2163
13044,11:29:12,905
13045,22:37:30,1454
13046,16:45:27,503
13047,16:08:05,482
13048,00:15:15,1371
13049,21:59:53,2536
13050,14:40:35,381
13051,13:11:37,1919
13052,12:35:57,1863
13053,19:27:51,1201
13054,11:59:04,2133
13055,18:03:38,2281
13056,20:39:01,1645
13057,21:01:11,178
13058,09:31:49,1161
13059,16:23:03,1584
13060,14:50:26,2373
13061,11:24:03,158
13062,12:40:14,1035
13063,07:15:27,788
13064,13:47:02,1892
13065,15:54:39,2101
13066,10:26:09,1685
13067,14:09:10,1085
13068,10:46:09,482
13069,18:19:41,362
13070,09:50:30,828
13071,11:23:51,371
13072,12:43:09,2018
13073,09:07:58,1518
13074,10:43:53,1552
13075,09:34:53,1114
13076,21:37:44,898
13077,11:18:24,645
13078,16:19:21,1058
13079,10:24:58,1725
13080,22:40:49,836
13081,22:14:37,2226
13082,14:24:11,2499
13083,16:40:39,421
13084,12:46:03,1579
13085,11:07:17,816
13086,14:37:28,1123
13087,09:50:33,924
13088,12:55:51,1706
13089,10:05:09,2287
13090,08:18:42,1694
13091,13:41:44,1153
13092,13:37:24,1643
13093,22:47:08,238
13094,21:58:14,1652
13095,16:42:53,527
13096,18:47:01,2233
13097,11:45:07,987
13098,22:34:37,1671
13099,18:12:10,1583
13100,17:51:04,1042
13101,18:44:37,247
13102,14:44:58,367
13103,13:14:11,1745
13104,01:00:24,148
13105,08:33:51,1906
13106,10:17:35,293
13107,12:35:42,2543
13108,16:10:05,1967
13109,16:27:27,1382
13110,08:20:06,1262
13111,21:35:50,1759
13112,12:49:44,444
13113,15:56:37,2039
13114,19:15:45,673
13115,08:29:15,1223
13116,19:55:38,1612
13117,20:21:49,591
13118,13:09:05,1147
13119,17:21:27,1174
13120,04:27:12,589
13121,13:03:08,2331
13122,09:58:29,1921
13123,20:40:38,659
13124,20:33:16,2036
13125,17:42:18,252
13126,20:05:04,2173
13127,10:53:37,1727
13128,09:46:49,630
13129,21:10:38,2329
13130,21:14:45,263
13131,17:57:35,1171
13132,13:43:41,293
13133,20:45:29,156
13134,16:01:58,970
13135,14:56:27,735
13136,18:11:52,2088
13137,07:54:19,1596
13138,12:35:36,2354
13139,14:21:52,182
13140,19:43:08,449
13141,11:58:29,1249
13142,12:57:41,2086
13143,21:39:10,1603
13144,16:19:37,1240
13145,20:41:52,736
13146,17:52:47,1500
13147,21:23:24,895
13148,14:42:57,2465
13149,18:24:42,2489
13150,20:02:40,637
13151,23:32:28,1726
13152,10:58:23,492
13153,09:35:40,1914
13154,21:08:55,1334
13155,11:27:43,241
13156,13:42:39,1936
13157,09:24:48,2522
13158,15:37:36,118
13159,02:11:30,2356
13160,23:05:05,166
13161,08:35:27,147
13162,10:24:43,467
13163,19:25:26,1767
13164,18:58:39,952
13165,14:16:15,1718
13166,14:34:07,731
13167,17:29:50,1611
13168,09:30:59,124
13169,11:31:10,454
13170,12:03:37,1628
13171,00:55:00,272
13172,16:11:03,1252
13173,17:50:24,2354
13174,18:24:45,175
13175,10:17:57,392
13176,03:13:33,2473
13177,19:56:05,1167
13178,10:57:10,367
13179,18:18:46,1138
13180,07:52:39,461
13181,05:50:58,25
13182,17:01:54,938
13183,18:43:16,1922
13184,13:56:34,1945
13185,22:20:08,668
13186,21:25:13,2363
13187,22:27:27,685
13188,06:08:29,2230
13189,22:33:16,1763
13190,13:28:07,619
13191,03:33:22,1411
13192,08:31:39,925
13193,08:40:04,879
13194,18:34:13,649
13195,12:34:05,1487
13196,07:18:13,1963
13197,20:02:52,2215
13198,18:21:20,1128
13199,19:13:33,583
13200,20:27:30,150
13201,21:06:30,1581
13202,19:03:15,1751
13203,13:47:33,991
13204,18:10:08,2209
13205,12:06:08,1663
13206,09:08:37,1110
13207,13:37:46,2501
13208,19:39:32,871
13209,19:45:23,1203
13210,13:42:23,787
13211,09:13:44,1177
13212,10:49:48,2002
13213,15:32:45,602
13214,22:29:46,938
13215,18:33:06,159
13216,18:16:04,1389
13217,21:45:55,2559
13218,12:13:10,1985
13219,19:16:18,1090
13220,21:03:02,1522
13221,19:48:52,1722
13222,20:46:16,2487
13223,06:09:27,1823
13224,12:14:49,231
13225,19:24:35,1122
13226,21:36:13,1730
13227,22:35:33,2537
13228,18:55:19,730
13229,21:43:17,1850
13230,19:39:05,1086
13231,19:19:41,488
13232,13:46:30,1468
13233,11:03:54,1286
13234,19:23:32,11
13235,17:40:09,1954
13236,21:47:16,237
13237,17:50:33,2454
13238,21:04:14,2256
13239,22:49:36,2458
13240,19:35:53,2047
13241,22:24:23,1849
13242,11:20:14,1348
13243,10:51:54,665
13244,21:26:24,1213
13245,15:27:34,1853
13246,15:11:10,2149
13247,17:33:56,1484
13248,01:46:06,2276
13249,11:08:15,338
13250,09:59:45,645
13251,21:12:43,1797
13252,22:56:37,131
13253,16:58:47,830
13254,19:29:08,1647
13255,11:41:24,1251
13256,16:22:23,2433
13257,13:12:12,2383
13258,16:58:13,856
13259,09:28:51,2237
13260,14:18:18,145
13261,22:18:27,1024
13262,22:56:07,1044
13263,12:11:43,768
13264,21:41:25,749
13265,16:21:23,104
13266,13:05:54,1553
13267,08:03:06,957
13268,19:10:46,1722
13269,13:12:24,1193
13270,16:47:10,1437
13271,10:42:45,2215
13272,12:08:58,2066
13273,12:11:27,154
13274,10:14:08,623
13275,16:31:28,136
13276,12:46:46,519
13277,09:53:16,469
13278,08:38:09,1437
13279,04:33:33,18
13280,13:50:27,409
13281,20:31:51,906
13282,16:01:02,2473
13283,08:22:02,569
13284,08:47:56,846
13285,10:36:33,2540
13286,11:11:40,1877
13287,17:40:43,2001
13288,10:32:47,2027
13289,13:54:55,1466
13290,20:22:35,2203
13291,16:32:50,2239
13292,13:02:03,2475
13293,17:47:07,391
13294,14:11:54,882
13295,19:52:08,444
13296,18:56:39,908
13297,06:49:44,1270
13298,11:49:22,2413
13299,15:34:31,1260
13300,21:13:17,1249
13301,17:04:19,1966
13302,07:40:04,323
13303,15:46:54,338
13304,07:53:24,1849
13305,16:27:40,1211
13306,22:00:16,639
13307,17:10:49,327
13308,18:10:52,314
13309,21:47:37,1101
13310,18:57:55,1639
13311,10:23:29,2303
13312,20:25:17,1246
13313,15:19:39,2230
13314,20:07:46,706
13315,20:00:25,1399
13316,16:46:54,112
13317,14:12:16,2431
13318,10:57:16,2136
13319,16:09:23,1497
13320,16:54:10,2256
13321,20:32:38,325
13322,08:07:35,1703
13323,11:32:45,1503
13324,16:17:36,1412
13325,11:24:55,1304
13326,06:42:30,1044
13327,14:40:34,905
13328,21:05:21,1623
13329,08:39:18,630
13330,07:56:25,275
13331,12:39:06,595
13332,08:13:29,625
13333,12:44:34,638
13334,11:58:40,599
13335,12:38:59,2230
13336,10:10:18,2435
13337,20:05:13,188
13338,08:01:38,1422
13339,11:33:10,623
13340,17:20:57,898
13341,11:35:25,1335
13342,08:43:49,351
13343,09:53:29,1908
13344,11:52:51,248
13345,14:14:12,911
13346,23:15:30,1121
13347,17:38:32,1539
13348,11:27:04,1693
13349,22:00:44,181
13350,20:50:00,2326
13351,17:49:18,318
13352,13:31:14,1121
13353,13:57:55,731
13354,09:25:41,1586
13355,21:48:14,1708
13356,00:27:23,2021
13357,17:54:59,1116
13358,16:51:12,822
13359,16:54:52,2349
13360,20:57:56,2084
13361,20:02:38,1424
13362,07:54:31,301
13363,16:49:57,1704
13364,15:55:58,1348
13365,12:50:22,17
13366,20:36:28,2464
13367,01:34:48,1860
13368,16:58:37,228
13369,10:19:31,1368
13370,22:46:30,1219
13371,12:48:30,1158
13372,09:22:05,1447
13373,18:07:06,545
13374,12:21:57,1499
13375,18:20:25,908
13376,09:02:55,68
13377,14:18:57,2439
13378,19:59:21,1831
13379,18:40:23,964
13380,09:53:41,2025
13381,21:28:09,681
13382,20:48:07,1048
13383,19:20:13,1861
13384,15:44:33,2529
13385,13:06:24,2248
13386,15:14:35,989
13387,20:36:30,1010
13388,07:32:58,2132
13389,21:43:26,947
13390,20:38:58,1290
13391,21:34:13,2175
13392,16:31:45,4
13393,23:28:50,831
13394,22:45:09,642
13395,18:08:35,193
13396,09:07:48,84
13397,21:09:37,943
13398,12:40:38,556
13399,13:34:36,919
13400,03:20:10,2048
13401,08:10:39,2394
13402,09:57:06,2341
13403,20:14:28,1212
13404,07:15:10,691
13405,21:41:15,1774
13406,11:34:34,1992
13407,10:55:34,2030
13408,18:41:04,1738
13409,22:22:23,2226
13410,18:05:07,1474
13411,21:06:49,346
13412,15:46:27,2171
13413,01:18:06,1127
13414,06:42:19,2285
13415,15:16:08,2310
13416,19:01:08,77
13417,09:09:12,495
13418,12:59:29,572
13419,21:39:15,861
13420,11:20:27,2012
13421,19:18:39,692
13422,14:52:46,669
13423,08:03:35,2430
13424,11:12:17,293
13425,19:41:44,307
13426,11:01:04,2048
13427,14:19:21,1671
13428,15:09:32,1717
13429,07:24:46,248
13430,18:53:10,2059
13431,19:54:19,121
13432,08:39:25,1994
13433,14:02:58,1171
13434,14:22:53,2331
13435,14:28:10,1244
13436,13:54:04,244
13437,17:19:45,2419
13438,01:00:51,25
13439,21:59:35,2552
13440,17:34:07,1376
13441,15:38:58,2459
13442,16:08:00,791
13443,20:57:47,2400
13444,01:55:40,519
13445,21:07:45,319
13446,07:42:08,1944
13447,21:25:12,1228
13448,09:55:22,482
13449,11:25:41,1918
13450,09:41:59,151
13451,13:36:08,1296
13452,10:27:50,213
13453,16:40:17,1332
13454,19:04:43,2503
13455,17:38:31,2091
13456,17:18:47,1795
13457,07:57:58,358
13458,09:57:48,1863
13459,11:10:31,2076
13460,18:47:38,1355
13461,12:13:16,814
13462,21:53:10,2175
13463,21:31:03,2508
13464,09:50:59,79
13465,21:36:12,686
13466,16:45:34,1635
13467,09:30:18,841
13468,21:10:53,416
13469,17:13:17,1444
13470,21:24:19,305
13471,10:59:31,2507
13472,14:25:15,1494
13473,02:20:37,1140
13474,15:22:33,1718
13475,08:54:08,1364
13476,09:08:29,2287
13477,16:55:17,504
13478,21:33:12,1014
13479,20:50:44,1281
13480,19:03:50,1497
13481,21:10:07,86
13482,16:42:45,323
13483,10:12:19,690
13484,11:40:30,794
13485,17:25:46,81
13486,19:09:49,2528
13487,18:16:26,666
13488,14:49:26,94
13489,23:51:55,210
13490,12:52:18,596
13491,17:48:39,2285
13492,21:19:18,674
13493,12:57:59,1256
13494,17:06:06,677
13495,15:17:28,62
13496,18:20:00,2478
13497,17:17:58,1254
13498,13:30:22,1985
13499,08:49:12,545
13500,07:57:34,1978
13501,14:13:11,1791
13502,19:49:06,515
13503,18:15:18,2363
13504,18:20:22,635
13505,10:49:00,1739
13506,09:37:46,1139
13507,14:17:40,265
13508,19:50:26,1030
13509,10:06:47,459
13510,10:14:24,2539
13511,09:02:33,2510
13512,19:55:17,1467
13513,21:52:38,666
13514,13:02:48,293
13515,18:14:44,1380
13516,17:49:45,1165
13517,14:40:25,2406
13518,20:26:15,193
13519,20:58:49,1417
13520,16:34:30,1425
13521,21:57:54,1653
13522,08:24:57,224
13523,16:13:00,1079
13524,11:17:03,720
13525,09:00:55,2532
13526,14:31:45,2557
13527,15:27:44,1898
13528,18:22:38,2468
13529,20:56:44,1958
13530,16:34:54,291
13531,16:08:17,1337
13532,11:27:25,717
13533,10:43:17,2317
13534,23:17:58,1417
13535,11:02:19,2436
13536,11:32:35,1874
13537,17:34:25,421
13538,14:40:10,2402
13539,15:55:22,2208
13540,13:32:57,1415
13541,12:06:43,1422
13542,07:27:02,488
13543,15:40:23,238
13544,20:19:34,1440
13545,10:01:31,1286
13546,15:59:17,108
13547,20:40:42,1243
13548,20:22:29,1551
13549,16:24:23,2131
13550,11:59:49,1467
13551,11:49:10,2471
13552,10:27:44,888
13553,17:56:43,487
13554,18:34:39,1880
13555,14:51:03,2261
13556,19:10:46,251
13557,09:33:08,1430
13558,19:35:28,1085
13559,23:30:32,2067
13560,21:46:24,1483
13561,17:09:26,747
13562,21:23:28,1398
13563,19:31:03,1823
13564,11:57:07,1526
13565,21:08:52,1356
13566,13:05:29,1691
13567,13:41:34,167
13568,20:55:01,1722
13569,23:56:23,1923
13570,17:49:02,2364
13571,11:18:13,2018
13572,13:13:54,1677
13573,07:48:52,1746
13574,20:24:32,1613
13575,22:50:34,1287
13576,13:11:27,107
13577,15:28:32,2489
13578,13:01:12,772
13579,09:20:25,1494
13580,11:35:55,861
13581,07:39:17,984
13582,09:44:37,2251
13583,09:40:35,2397
13584,15:15:26,2043
13585,16:49:21,958
13586,16:50:07,2043
13587,14:17:52,2047
13588,18:06:09,2084
13589,16:38:05,461
13590,17:51:13,1721
13591,10:08:02,998
13592,10:05:38,1609
13593,12:22:41,1748
13594,14:23:35,24
13595,13:39:53,1258
13596,09:25:24,187
13597,21:47:55,1547
13598,17:03:52,1255
13599,22:40:53,2250
13600,16:51:59,563
13601,21:32:39,347
13602,23:35:04,300
13603,12:38:41,914
13604,17:00:52,2208
13605,17:38:44,1407
13606,17:36:54,1886
13607,11:17:35,2030
13608,18:27:21,1440
13609,17:23:27,2050
13610,09:26:22,1091
13611,16:33:46,303
13612,11:35:05,1828
13613,01:35:54,2265
13614,23:55:58,2558
13615,12:50:30,938
13616,08:35:47,2507
13617,19:39:49,2297
13618,16:46:06,1564
13619,21:57:54,571
13620,19:08:33,490
13621,22:49:05,1891
13622,09:15:02,1297
13623,11:10:19,717
13624,16:58:49,1592
13625,12:41:01,124
13626,22:50:05,2330
13627,14:32:54,848
13628,09:28:53,247
13629,16:25:21,1728
13630,04:57:20,1425
13631,18:45:40,2503
13632,08:40:43,1178
13633,12:20:02,1930
13634,21:30:43,568
13635,22:10:24,1178
13636,07:59:51,920
13637,23:29:30,2403
13638,07:27:44,2455
13639,19:41:47,998
13640,11:08:03,203
13641,10:34:29,311
13642,18:59:25,2285
13643,23:10:05,951
13644,14:00:25,1130
13645,12:26:10,1899
13646,09:28:36,690
13647,19:05:20,983
13648,19:39:53,483
13649,23:02:22,1743
13650,11:36:34,2537
13651,18:40:25,2181
13652,12:47:55,2098
13653,07:43:04,295
13654,10:49:58,2311
13655,19:46:53,2409
13656,17:33:13,1506
13657,17:33:07,1332
13658,10:11:42,1184
13659,19:56:12,2218
13660,09:01:14,993
13661,07:43:56,1717
13662,18:28:09,974
13663,17:27:26,554
13664,17:02:31,95
13665,10:53:33,2478
13666,20:13:40,1205
13667,16:38:41,1396
13668,06:51:46,1027
13669,18:19:58,2146
13670,17:17:11,1002
13671,08:24:01,300
13672,17:25:26,26
13673,15:17:21,922
13674,21:40:53,1335
13675,16:42:22,789
13676,13:37:45,139
13677,18:50:08,1737
13678,21:31:55,1843
13679,09:30:34,1445
13680,14:35:46,805
13681,20:40:24,208
13682,16:32:51,750
13683,21:30:19,2001
13684,22:03:24,2001
13685,11:00:16,673
13686,23:19:58,1810
13687,19:03:57,1036
13688,10:30:50,2211
13689,12:19:46,683
13690,16:10:24,633
13691,10:24:59,591
13692,10:57:22,2393
13693,08:04:49,732
13694,09:52:57,1110
13695,18:51:54,246
13696,18:42:59,619
13697,18:37:10,479
13698,15:52:08,1022
13699,19:19:55,1836
13700,15:01:37,922
13701,15:40:06,2085
13702,08:50:25,2001
13703,21:38:36,2216
13704,10:17:11,1719
13705,00:07:09,1345
13706,17:56:46,1761
13707,18:32:28,2101
13708,09:53:05,1738
13709,08:47:09,281
13710,21:29:02,2556
13711,19:41:41,650
13712,13:10:24,457
13713,08:58:27,2151
13714,13:13:16,1787
13715,11:22:58,1462
13716,19:48:34,216
13717,20:11:17,1368
13718,21:32:15,991
13719,13:17:03,2273
13720,13:19:05,2065
13721,17:45:10,781
13722,19:36:32,2291
13723,13:56:12,2283
13724,19:52:59,1598
13725,15:25:59,937
13726,19:08:48,279
13727,10:43:27,650
13728,00:36:48,1564
13729,09:20:13,1496
13730,18:46:42,653
13731,10:59:50,1573
13732,19:54:07,996
13733,21:11:33,2234
13734,13:49:39,927
13735,07:22:50,1012
13736,14:00:30,942
13737,18:52:14,2257
13738,22:16:58,2257
13739,19:09:09,2001
13740,18:13:31,949
13741,09:18:22,1951
13742,19:04:41,567
13743,18:33:38,2111
13744,20:17:25,684
13745,19:25:33,238
13746,20:19:16,98
13747,12:31:42,1949
13748,16:14:29,1363
13749,20:42:22,1126
13750,13:28:26,1008
13751,19:33:28,1535
13752,22:22:22,303
13753,21:26:09,102
13754,16:46:33,1597
13755,19:27:15,1911
13756,17:46:42,1066
13757,09:20:50,1012
13758,09:05:02,1364
13759,21:48:38,674
13760,22:02:44,1311
13761,14:01:10,1753
13762,15:13:44,1407
13763,21:22:06,1371
13764,07:10:16,2370
13765,20:26:44,1132
13766,09:03:59,81
13767,13:05:59,927
13768,21:23:14,153
13769,18:22:41,2216
13770,10:35:15,647
13771,14:22:56,2101
13772,19:05:32,258
13773,07:00:55,1608
13774,23:42:51,2260
13775,13:47:45,88
13776,20:43:49,1292
13777,12:30:55,845
13778,15:24:48,271
13779,18:38:03,1142
13780,20:45:11,2346
13781,14:21:02,1545
13782,18:02:06,2019
13783,22:28:13,912
13784,15:11:49,886
13785,16:42:22,28
13786,14:57:16,1506
13787,10:26:13,1065
13788,21:35:21,1601
13789,17:13:07,754
13790,16:51:50,1636
13791,19:16:22,106
13792,19:09:29,2
13793,18:40:33,129
13794,12:05:46,611
13795,20:39:37,1947
13796,17:38:31,146
13797,15:38:46,1639
13798,12:18:43,1273
13799,12:38:22,2072
13800,23:12:35,897
13801,16:53:20,1232
13802,15:18:25,219
13803,11:08:35,485
13804,12:53:30,69
13805,19:38:02,798
13806,17:26:59,1396
13807,19:27:44,2549
13808,00:58:13,1925
13809,10:07:05,2416
13810,18:06:38,2467
13811,17:09:03,1350
13812,14:14:35,904
13813,12:52:24,1470
13814,22:42:47,47
13815,13:40:27,698
13816,07:33:06,1331
13817,00:46:59,1018
13818,19:33:10,993
13819,12:42:12,1376
13820,21:22:01,320
13821,16:35:42,1388
13822,22:50:11,281
13823,16:48:18,747
13824,22:31:24,275
13825,18:41:04,34
13826,13:15:56,1205
13827,14:25:51,163
13828,16:53:04,412
13829,11:15:23,2016
13830,20:01:38,2009
13831,14:07:32,122
13832,22:15:19,1294
13833,11:52:04,1462
13834,19:29:03,575
13835,18:48:50,2058
